programado_slot;captura_utc_real;fecha;vmax;sumlluv;lluvayer;tmax;tmin
2026-04-12 22:30:00;2026-04-12 22:31:07;12/04/2026 04:22:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-12 22:45:00;2026-04-12 22:56:58;12/04/2026 04:52:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-12 23:00:00;2026-04-12 23:17:52;12/04/2026 05:12:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-12 23:15:00;2026-04-12 23:22:32;12/04/2026 05:12:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-12 23:30:00;2026-04-12 23:52:05;12/04/2026 05:42:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-12 23:45:00;2026-04-13 00:12:01;12/04/2026 06:02:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 00:45:00;2026-04-13 01:24:04;12/04/2026 07:22:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 01:15:00;2026-04-13 01:53:26;12/04/2026 07:52:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 01:30:00;2026-04-13 02:00:58;12/04/2026 07:52:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 02:30:00;2026-04-13 03:04:41;12/04/2026 09:02:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 04:15:00;2026-04-13 04:55:52;12/04/2026 10:52:27 p.m.;66,00;0,00;0,00;36,58;26,51
2026-04-13 06:30:00;2026-04-13 07:14:23;13/04/2026 01:12:27 a.m.;43,40;0,00;0,00;29,42;28,37
2026-04-13 08:30:00;2026-04-13 09:14:23;13/04/2026 03:12:27 a.m.;48,80;0,00;0,00;29,42;26,87
2026-04-13 10:15:00;2026-04-13 10:57:54;13/04/2026 04:52:27 a.m.;48,80;0,00;0,00;29,42;26,87
2026-04-13 11:30:00;2026-04-13 12:07:30;13/04/2026 06:02:27 a.m.;51,40;0,00;0,00;29,42;26,87
2026-04-13 13:30:00;2026-04-13 14:06:17;13/04/2026 08:02:27 a.m.;51,40;0,00;0,00;31,82;26,87
2026-04-13 13:45:00;2026-04-13 15:43:43;13/04/2026 09:42:27 a.m.;65,60;0,00;0,00;33,32;26,87
