captura_utc_real;fecha;temp;lluvia;radmax;presmb
2026-04-14 03:52:36;13/04/2026 09:00 p.m.;29,07;0,00;0,00;1.000,46
2026-04-14 03:52:36;13/04/2026 08:00 p.m.;29,59;0,00;0,00;1.000,22
2026-04-14 04:51:03;13/04/2026 10:00 p.m.;28,65;0,00;0,00;1.000,84
2026-04-14 04:51:03;13/04/2026 07:00 p.m.;30,58;0,00;0,00;999,36
2026-04-14 04:51:03;13/04/2026 06:00 p.m.;31,92;0,00;0,16;998,60
2026-04-14 04:51:03;13/04/2026 05:00 p.m.;33,36;0,00;0,40;998,16
2026-04-14 04:51:03;13/04/2026 04:00 p.m.;34,51;0,00;0,62;998,21
2026-04-14 04:51:03;13/04/2026 03:00 p.m.;35,31;0,00;0,94;998,51
2026-04-14 04:51:03;13/04/2026 02:00 p.m.;35,41;0,00;1,03;999,23
2026-04-14 04:51:03;13/04/2026 01:00 p.m.;35,00;0,00;1,00;1.000,05
2026-04-14 04:51:03;13/04/2026 12:00 p.m.;34,70;0,00;1,12;1.000,98
2026-04-14 04:51:03;13/04/2026 11:00 a.m.;33,85;0,00;1,05;1.001,52
2026-04-14 04:51:03;13/04/2026 10:00 a.m.;32,79;0,00;0,95;1.001,88
2026-04-14 04:51:03;13/04/2026 09:00 a.m.;31,69;0,00;0,78;1.001,82
2026-04-14 04:51:03;13/04/2026 08:00 a.m.;30,87;0,00;0,43;1.001,49
2026-04-14 04:51:03;13/04/2026 07:00 a.m.;29,25;0,00;0,32;1.000,76
2026-04-14 04:51:03;13/04/2026 06:00 a.m.;28,51;0,00;0,03;999,89
2026-04-14 04:51:03;13/04/2026 05:00 a.m.;28,49;0,00;0,00;999,42
2026-04-14 04:51:03;13/04/2026 04:00 a.m.;28,28;0,00;0,00;999,10
2026-04-14 04:51:03;13/04/2026 03:00 a.m.;28,06;0,00;0,00;999,21
2026-04-14 04:51:03;13/04/2026 02:00 a.m.;28,59;0,00;0,00;999,73
2026-04-14 04:51:03;13/04/2026 01:00 a.m.;28,71;0,00;0,00;1.000,26
2026-04-14 04:51:03;13/04/2026 12:00 a.m.;28,64;0,00;0,00;1.000,94
2026-04-14 04:51:03;12/04/2026 11:00 p.m.;28,70;0,00;0,00;1.001,40
2026-04-14 04:51:03;12/04/2026 10:00 p.m.;28,91;0,00;0,00;1.001,65
2026-04-14 06:24:51;14/04/2026 12:00 a.m.;28,34;0,00;0,00;1.000,55
2026-04-14 06:24:51;13/04/2026 11:00 p.m.;28,25;0,00;0,00;1.001,11
2026-04-14 08:11:01;14/04/2026 02:00 a.m.;27,23;0,00;0,00;999,65
2026-04-14 08:11:01;14/04/2026 01:00 a.m.;27,96;0,00;0,00;1.000,36
2026-04-14 09:50:39;14/04/2026 03:00 a.m.;25,36;0,00;0,00;999,35
2026-04-14 10:54:53;14/04/2026 04:00 a.m.;25,36;0,00;0,00;999,27
2026-04-14 11:56:51;14/04/2026 05:00 a.m.;24,15;0,00;0,00;999,65
2026-04-14 13:56:59;14/04/2026 07:00 a.m.;25,86;0,00;0,19;1.000,51
2026-04-14 13:56:59;14/04/2026 06:00 a.m.;25,40;0,00;0,04;1.000,07
2026-04-14 15:18:04;14/04/2026 09:00 a.m.;31,06;0,00;0,75;1.000,94
2026-04-14 15:18:04;14/04/2026 08:00 a.m.;27,71;0,00;0,52;1.000,85
